Date,Close/Last,Volume,Open,High,Low
05/23/2019,$274.25,2706419,$278.29,$278.43,$271.69
05/22/2019,$281.82,1570628,$277.42,$282.74,$277.255
05/21/2019,$278.07,1793665,$278.21,$280,$277.045
05/20/2019,$275.45,2391950,$276.1,$277.89,$273.4
05/17/2019,$279.85,2223523,$281.68,$284.412,$279.069
05/16/2019,$283.55,3413063,$278.63,$285.87,$278.4
05/15/2019,$276.82,2708559,$269.82,$276.95,$269.5
05/14/2019,$271.86,2046551,$269.43,$274.23,$269.29
05/13/2019,$267.7,2698322,$270.565,$274.19,$267.22
05/10/2019,$278.48,2097736,$273.58,$279.5,$270.32
05/09/2019,$275.79,1867193,$274.16,$277.12,$270.7975
05/08/2019,$276.77,2611043,$275.83,$278.37,$274.16
05/07/2019,$277.07,2567977,$278.82,$280.65,$273.67
05/06/2019,$283.66,1994477,$277.6,$284.2165,$275.81
05/03/2019,$285.58,1979920,$282.56,$286.35,$282.39
05/02/2019,$279.64,2482283,$283.14,$284.59,$278.15
05/01/2019,$283.35,2056176,$291,$291,$283.19
04/30/2019,$289.25,3066916,$286.1,$289.77,$285.25
04/29/2019,$286.14,5533815,$286.46,$291.705,$285.38
04/26/2019,$281.96,2114018,$278.18,$282,$275.79
04/25/2019,$277.66,1747079,$278.4,$279.52,$274.3785
04/24/2019,$275.45,1853595,$279.22,$280.17,$275.25
04/23/2019,$278.49,2691428,$272.54,$278.89,$271.59
04/22/2019,$272.21,1364700,$269.82,$272.32,$269.2033
04/18/2019,$270.57,2027217,$270.09,$270.82,$266.64
04/17/2019,$269.45,2390438,$272.17,$272.665,$268.44
04/16/2019,$271.43,1638319,$273.07,$273.39,$269.64
04/15/2019,$272.22,1462231,$271.86,$273.71,$270.62
04/12/2019,$271.86,1680946,$273.01,$273.51,$270.82
04/11/2019,$271.9,2085592,$271.95,$272.92,$270.77
04/10/2019,$271.58,1469592,$269.47,$272.16,$269.01
04/09/2019,$268.99,1546905,$267.12,$269.99,$266.8
04/08/2019,$268.81,1796681,$266.96,$269.09,$264.7
04/05/2019,$267.45,1970205,$269.44,$269.94,$266.59
04/04/2019,$267.89,2929433,$270.98,$271.47,$263.72
04/03/2019,$271.5,2283554,$273.71,$274.18,$270.975
04/02/2019,$271.35,1877762,$272.89,$273,$267.63
04/01/2019,$272.17,2919523,$269.85,$272.385,$268.19
03/29/2019,$266.49,2096442,$265.47,$266.75,$264.2
03/28/2019,$263.53,2017656,$263.5,$265.1699,$260.88
03/27/2019,$262.34,2521421,$265.53,$265.9731,$259.04
03/26/2019,$265.59,3149922,$265.05,$267.74,$263.84
03/25/2019,$262.27,2639060,$259.21,$263.12,$257.1
03/22/2019,$259.69,3447443,$263.47,$264.64,$259.52
03/21/2019,$264.18,2357183,$259,$264.34,$258.4
03/20/2019,$259.74,3389345,$260.54,$262.3,$256.17
03/19/2019,$260.42,4238002,$259.43,$260.64,$256.34
03/18/2019,$257.76,4011725,$257.11,$259.96,$253.8901
03/15/2019,$257.09,12108480,$258.03,$260,$252.03
03/14/2019,$267.69,5072598,$265.26,$268,$263.52
03/13/2019,$264.38,3989333,$265.5,$269.8,$264.13
03/12/2019,$263.51,2583315,$261.86,$264.75,$259.01
03/11/2019,$260.96,2555710,$255.98,$261.46,$255.77
03/08/2019,$254.74,2194190,$251.49,$255.02,$249.0954
03/07/2019,$255.46,3144788,$255.77,$257.49,$253.2855
03/06/2019,$256.4,1949650,$257.4,$259.49,$253.84
03/05/2019,$257.38,2089254,$259,$259.865,$256.365
03/04/2019,$258.16,2986284,$266.7,$267,$254.08
03/01/2019,$264.01,2582446,$265.75,$266.24,$261.5
02/28/2019,$262.5,3799242,$262.4,$266.24,$261.76
02/27/2019,$262.9,2244333,$259.77,$263.08,$256.52
02/26/2019,$261.22,2536367,$258,$262.58,$256.3734
02/25/2019,$258.62,1808267,$261.5,$262.98,$258.18
02/22/2019,$258.9,2005988,$257.61,$260.24,$257.61
02/21/2019,$257.76,2593685,$257.3,$259.3491,$255.12
02/20/2019,$258.1,2452118,$258.13,$260.99,$255.9164
02/19/2019,$257.81,3459859,$258.98,$260.06,$256.45
02/15/2019,$259.45,2998923,$260.34,$260.97,$258.0725
02/14/2019,$260.14,1735869,$259.4,$261.71,$258.01
02/13/2019,$260.23,1897161,$263.13,$263.3645,$259.37
02/12/2019,$261.37,2516342,$260.15,$262.2509,$258.67
02/11/2019,$258.39,3504480,$258.89,$259.9,$256.19
02/08/2019,$257,2688869,$251.39,$257.05,$250.64
02/07/2019,$253.74,2098217,$251.33,$254.31,$250.28
02/06/2019,$254.35,2462790,$255.06,$255.93,$250.71
02/05/2019,$254.82,3022245,$256.74,$258.56,$254.01
02/04/2019,$254.74,3699143,$248.56,$256.99,$248.06
02/01/2019,$247.38,2911604,$247.82,$251.035,$246.1
01/31/2019,$247.82,4920084,$243,$249,$243
01/30/2019,$242.67,2462499,$240.16,$243,$238.87
01/29/2019,$238.27,1934368,$241.81,$242.8653,$237.27
01/28/2019,$241.85,2097035,$241,$243.22,$239.35
01/25/2019,$244.95,3821205,$244.99,$247.1,$243.43
01/24/2019,$242.56,3388177,$245.62,$245.98,$241.18
01/23/2019,$245.14,2005299,$244.91,$248.16,$240.5963
01/22/2019,$243.85,4077431,$245.13,$245.6083,$241.19
01/18/2019,$247.51,3705712,$247.45,$250.68,$244.45
01/17/2019,$244.4,2827165,$240.13,$245.04,$238.7801
01/16/2019,$241.95,2878101,$243.6,$244,$239.68
01/15/2019,$242.36,3526260,$237.9,$243.93,$237.2552
01/14/2019,$234.56,2553333,$235.33,$236.255,$231.9587
01/11/2019,$237.55,3178297,$235.71,$239.32,$235.23
01/10/2019,$237.77,2704041,$233.77,$238.04,$231.71
01/09/2019,$235.43,3593515,$234.01,$238.59,$232
01/08/2019,$232.68,3666281,$232.65,$233.77,$228.3298
01/07/2019,$229.26,3635797,$229.95,$232.6,$227.29
01/04/2019,$226.19,4040882,$219.84,$227.65,$217.48
01/03/2019,$215.7,3561264,$220.88,$223.63,$215.15
01/02/2019,$224.57,2776710,$219.91,$226.17,$219
12/31/2018,$226.24,2864787,$225.56,$227.33,$223.235
12/28/2018,$223.13,3159377,$227.58,$228.11,$220.87
12/27/2018,$225.14,3737396,$219.99,$225.17,$214.16
12/26/2018,$222.95,5890305,$206.53,$222.96,$206.25
12/24/2018,$205.16,2940454,$206.9,$212.58,$204.95
12/21/2018,$208.8,8595366,$219.55,$222.26,$207.37
12/20/2018,$218.65,6077922,$223,$224.85,$212.83
12/19/2018,$224.65,6106460,$225.92,$231.02,$221.11
12/18/2018,$226.18,5254382,$222.53,$228.13,$221.55
12/17/2018,$221.38,6953743,$226.93,$230.63,$220.48
12/14/2018,$230,12183820,$240.76,$240.92,$229.91
12/13/2018,$248.08,5300276,$248.15,$251.6,$245.2
12/12/2018,$245.55,4064416,$249.99,$251.56,$245.04
12/11/2018,$245.34,3168230,$251.43,$251.75,$242.7845
12/10/2018,$244.09,3174744,$237.46,$245.395,$237.0101
12/07/2018,$238,3906283,$248.39,$249.26,$237.65
12/06/2018,$250.63,3922516,$240,$250.68,$237.96
12/04/2018,$245.82,4024037,$253.22,$254.71,$244.98
12/03/2018,$255.26,4279352,$260.71,$260.72,$251.8172
11/30/2018,$250.89,5152441,$250.23,$251.57,$247.09
11/29/2018,$249.09,3649540,$246.36,$252.25,$244.31
11/28/2018,$249.21,6345165,$237.9,$250.41,$237.74
11/27/2018,$232.25,2875774,$230.77,$232.78,$228.68
11/26/2018,$231.96,3568366,$229.19,$233.3,$227.91
11/23/2018,$225.56,1691015,$222.71,$227.74,$222.51
11/21/2018,$225.98,4846354,$225.33,$228.99,$222.24
11/20/2018,$219.73,6177056,$209.41,$222.84,$207.02
11/19/2018,$219.69,7563739,$237.5,$238.65,$218.72
11/16/2018,$238.89,2888654,$239.52,$240.14,$235.37
11/15/2018,$239.95,3374695,$233.98,$241.43,$231.33
